Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8
0.168;0.131;0.155;0.159;0.143;0.237;0.128;0.128
0.15;0.127;0.15;0.147;0.138;0.24;0.13;0.124
0.144;0.135;0.144;0.139;0.133;0.245;0.129;0.125
0.144;0.13;0.144;0.137;0.132;0.195;0.131;0.125
0.138;0.133;0.14;0.134;0.134;0.166;0.128;0.129
0.14;0.129;0.137;0.132;0.137;0.15;0.126;0.125
0.138;0.136;0.139;0.135;0.135;0.152;0.131;0.129
0.136;0.131;0.134;0.136;0.134;0.148;0.137;0.125
0.133;0.131;0.133;0.137;0.136;0.148;0.134;0.128
0.14;0.133;0.131;0.134;0.129;0.146;0.131;0.123
0.138;0.13;0.131;0.133;0.133;0.14;0.13;0.131
0.139;0.138;0.132;0.133;0.128;0.144;0.132;0.131
0.137;0.132;0.129;0.129;0.128;0.145;0.133;0.125
0.138;0.138;0.13;0.128;0.125;0.142;0.137;0.128
0.139;0.137;0.13;0.131;0.129;0.146;0.137;0.131
0.137;0.136;0.128;0.135;0.133;0.145;0.136;0.13
0.135;0.139;0.127;0.128;0.129;0.151;0.138;0.129
0.145;0.14;0.131;0.134;0.128;0.147;0.139;0.129
0.143;0.138;0.129;0.131;0.131;0.147;0.135;0.127
0.153;0.134;0.132;0.128;0.131;0.153;0.142;0.132
0.148;0.139;0.128;0.129;0.128;0.155;0.141;0.126
0.143;0.139;0.128;0.131;0.13;0.153;0.143;0.134
0.151;0.139;0.131;0.133;0.133;0.157;0.148;0.136
0.15;0.136;0.129;0.13;0.127;0.157;0.15;0.139
0.162;0.145;0.133;0.13;0.13;0.166;0.145;0.136
0.165;0.151;0.133;0.128;0.133;0.161;0.147;0.137
0.161;0.144;0.129;0.132;0.131;0.164;0.147;0.139
0.157;0.146;0.131;0.132;0.133;0.171;0.149;0.137
0.167;0.148;0.131;0.127;0.127;0.176;0.152;0.139
0.173;0.149;0.131;0.133;0.129;0.176;0.152;0.14
0.168;0.147;0.13;0.13;0.129;0.178;0.16;0.137
0.172;0.15;0.135;0.134;0.133;0.186;0.163;0.148
0.178;0.148;0.131;0.131;0.132;0.188;0.161;0.147
0.173;0.158;0.138;0.129;0.132;0.19;0.164;0.148
0.178;0.147;0.132;0.13;0.133;0.194;0.167;0.147
0.191;0.162;0.14;0.129;0.131;0.198;0.167;0.141
0.194;0.155;0.138;0.134;0.129;0.201;0.175;0.151
0.197;0.157;0.136;0.135;0.132;0.208;0.165;0.144
0.197;0.161;0.137;0.138;0.132;0.221;0.183;0.152
0.197;0.166;0.138;0.135;0.131;0.217;0.171;0.151
0.206;0.166;0.142;0.132;0.132;0.211;0.174;0.153
0.211;0.17;0.142;0.128;0.131;0.227;0.173;0.161
0.222;0.162;0.138;0.131;0.132;0.236;0.188;0.16
0.224;0.183;0.14;0.13;0.132;0.232;0.192;0.162
0.23;0.17;0.142;0.13;0.13;0.239;0.195;0.155
0.251;0.174;0.144;0.133;0.133;0.249;0.203;0.159
0.247;0.172;0.142;0.13;0.129;0.263;0.203;0.166
0.246;0.172;0.147;0.13;0.129;0.263;0.204;0.17
0.259;0.182;0.15;0.138;0.13;0.261;0.204;0.166
0.277;0.191;0.155;0.13;0.133;0.274;0.208;0.174
0.267;0.192;0.151;0.13;0.133;0.277;0.212;0.174
0.283;0.182;0.152;0.133;0.134;0.29;0.219;0.177
0.282;0.188;0.151;0.133;0.134;0.299;0.229;0.185
0.298;0.19;0.15;0.128;0.132;0.311;0.227;0.184
0.302;0.199;0.153;0.132;0.131;0.321;0.234;0.171
0.323;0.204;0.15;0.132;0.132;0.324;0.227;0.184
0.336;0.203;0.154;0.132;0.133;0.334;0.24;0.189
0.337;0.208;0.16;0.132;0.13;0.349;0.235;0.188
0.352;0.211;0.157;0.135;0.131;0.359;0.251;0.199
0.368;0.203;0.157;0.134;0.132;0.374;0.267;0.199
0.366;0.227;0.162;0.134;0.138;0.394;0.261;0.193
0.39;0.228;0.168;0.137;0.134;0.403;0.27;0.208
0.396;0.228;0.161;0.135;0.133;0.4;0.276;0.204
0.409;0.235;0.169;0.134;0.132;0.415;0.265;0.215
0.429;0.233;0.175;0.133;0.132;0.429;0.3;0.215
0.453;0.246;0.165;0.133;0.133;0.459;0.296;0.219
0.471;0.253;0.172;0.135;0.134;0.465;0.302;0.222
0.496;0.248;0.169;0.14;0.132;0.481;0.303;0.221
0.5;0.256;0.167;0.129;0.129;0.497;0.324;0.235
0.534;0.272;0.174;0.144;0.131;0.52;0.337;0.233
0.534;0.263;0.172;0.136;0.135;0.519;0.347;0.232
0.556;0.278;0.182;0.136;0.133;0.56;0.339;0.253
0.585;0.291;0.187;0.133;0.132;0.573;0.358;0.25
0.611;0.275;0.217;0.135;0.136;0.591;0.371;0.263
0.628;0.282;0.185;0.138;0.134;0.623;0.393;0.259
0.671;0.291;0.188;0.137;0.138;0.626;0.403;0.268
0.677;0.299;0.189;0.134;0.134;0.652;0.399;0.27
0.691;0.306;0.191;0.136;0.132;0.705;0.418;0.286
0.734;0.319;0.194;0.132;0.135;0.705;0.421;0.275
0.739;0.333;0.191;0.139;0.131;0.738;0.43;0.277
0.776;0.339;0.187;0.134;0.132;0.747;0.432;0.299
0.797;0.361;0.204;0.137;0.13;0.78;0.463;0.291
0.807;0.354;0.2;0.138;0.14;0.788;0.456;0.318
0.835;0.377;0.216;0.133;0.135;0.829;0.493;0.322
0.83;0.378;0.2;0.135;0.138;0.823;0.502;0.332
0.864;0.382;0.221;0.141;0.137;0.85;0.51;0.327
0.869;0.407;0.217;0.137;0.135;0.858;0.523;0.348
0.872;0.39;0.22;0.136;0.133;0.89;0.548;0.347
0.898;0.426;0.237;0.134;0.132;0.889;0.571;0.352
0.923;0.436;0.226;0.138;0.135;0.922;0.572;0.372
0.939;0.458;0.233;0.134;0.134;0.934;0.602;0.374
0.938;0.47;0.221;0.136;0.132;0.946;0.608;0.38
0.956;0.483;0.243;0.135;0.131;0.963;0.634;0.387
0.968;0.47;0.233;0.136;0.138;0.984;0.641;0.407
0.98;0.502;0.245;0.137;0.136;0.996;0.66;0.401
1.019;0.515;0.246;0.134;0.134;1.007;0.696;0.423
1.02;0.521;0.257;0.141;0.131;1.04;0.737;0.428
1.035;0.55;0.258;0.139;0.14;1.035;0.701;0.439
1.044;0.566;0.251;0.139;0.136;1.047;0.733;0.445
1.063;0.58;0.264;0.135;0.129;1.06;0.758;0.467
1.061;0.601;0.283;0.136;0.137;1.103;0.78;0.487
1.095;0.603;0.282;0.137;0.136;1.087;0.804;0.466
1.088;0.635;0.267;0.137;0.138;1.09;0.831;0.496
1.104;0.638;0.281;0.14;0.136;1.11;0.856;0.509
1.125;0.671;0.295;0.136;0.133;1.12;0.866;0.535
1.145;0.667;0.296;0.14;0.14;1.149;0.877;0.542
1.144;0.711;0.299;0.139;0.137;1.163;0.93;0.534
1.151;0.733;0.303;0.139;0.135;1.176;0.932;0.544
1.184;0.757;0.314;0.137;0.135;1.178;0.943;0.566
1.187;0.771;0.321;0.137;0.135;1.19;0.962;0.583
1.195;0.792;0.32;0.137;0.139;1.2;0.983;0.608
1.196;0.799;0.315;0.141;0.133;1.215;0.981;0.605
1.23;0.836;0.327;0.138;0.136;1.22;1.02;0.629
1.225;0.834;0.339;0.137;0.136;1.257;1.041;0.66
1.232;0.862;0.336;0.142;0.134;1.247;1.065;0.646
1.263;0.872;0.343;0.138;0.135;1.264;1.062;0.686
1.267;0.916;0.357;0.134;0.137;1.262;1.059;0.677
1.276;0.918;0.359;0.141;0.138;1.271;1.1;0.714
1.294;0.939;0.374;0.136;0.136;1.288;1.114;0.726
1.288;0.968;0.377;0.133;0.133;1.303;1.131;0.748
1.293;0.948;0.401;0.138;0.134;1.327;1.151;0.761
